hotel_name,location,hotel_price,rating,rating_score,review,link
Treebo Skazka Resort Mandrem,Mandrem,29557,Good,7.3,19 reviews,https://www.booking.com/hotel/in/treebo-skazka-resort-mandrem.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=1345642401_406929775_2_1_0_813955&highlighted_blocks=1345642401_406929775_2_1_0_813955&matching_block_id=1345642401_406929775_2_1_0_813955&sr_pri_blocks=1345642401_406929775_2_1_0_813955_2955653&from=searchresults
The St. Regis Goa Resort,"Cavelossim Beach, Cavelossim",355300,Fabulous,8.9,429 reviews,https://www.booking.com/hotel/in/the-st-regis-goa-resort.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=25165409_389271141_2_41_0&highlighted_blocks=25165409_389271141_2_41_0&matching_block_id=25165409_389271141_2_41_0&sr_pri_blocks=25165409_389271141_2_41_0__35530000&nad_id=93d357c3-0ed1-4079-bacf-c5da909626a1_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDYwNzgwODg0MjAsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoicms5N3FBdHNBWUxMZzI0cFNYQ3dZYi9VWk9VYWxoa1YyR1JMUlI4Y2J5MnM0R3ZQcDJmUGZnVWZMUk91V1dCRGRoTmlxSVNHV0F5U2pDeXFlVzhMOFprWXdSNXdqekM4cVp1VUNzTTVUcFJ6djBzQi95OUFRdHAzUjhFbnZNQTJDQVpud2lNSk1SdVZvODZqTXU4dWRYa0VwRkM5cElEMThkbHZELzIrZWFPSzBRVkhuVHhiWmNlQTdmOWpGYzk4YVlYbFQ5cHNXcXVIZGl6Mi9WUmVhWmwyWjI5WklmbGd6VENKd2IvQ0liVk1TUE54L2FJZWpaYjJEbHROU0ZSRmNqTmhHUkUzZlptaHM5bHBkWEZkOGJpVDdBTXJ0WmV1azlaQVpCTUV5SjA1REVCdGlkVkd2TkJPL295R2w0WkFHSUQ3UVNjbGNJVzRIYlFFNjI0K1QvMFhxdHRtc2cvZkd3VjBBbXc4K3ZDK0ZzUy9zcFVwOG1JQVNobUlFQ3Arc0p0aXFYanRucGJhenI4V0dNVGNxM2RYenE5VFMvNTgwR1VsOGdTQndqZitCY0t4RlZKMjh1MEFIenBHdEN3a2hweDlkbG9nV0JTQkVLQlVNcStIWkJON2dBSmJPb3NrMXhaeDJwVGsvSDlFTkZpZzdINzBGOUVIT2t2WnBWYUVIdEdyTUR2dU5JOFN4OFR4ZEFPMjJvR21SZVQxVG8yZW5pUTNrdlVlRkF0TkdZS3haN0lYYVVEUE8yMXpRbjh5cU9heFhtMVExWFFpTjh1cjZhSFJMd0g3Qzd1UklGOWdnWVZBQTk0eWdRM0RBMGN2SlJYbU5BQnRPMWVkTEpJYWlJVndjTVFKdWtNWVp3QllOa1dhV1FvVmNKS01WbkV4QlZEeWQ1ZUxET0JVQ1NxSnhabXlOV002Z0Z5WUl1Sy90RU1HVjBGNjlSYmJvYS9keTVKMElhR0hjclNBVWROeW1MejRyMEppOGh6dWozOC9jZjBWOWl4MjhVMlNkU1BvSUx3NStlV1dHMTFGWDNVYkV4UlJtVUszRGZlV0plblZ3Y3hVT1J2MTBBbDVOMVYzOXlYbTBHQ0dRNDNFTVMzT24xR2lzN1NBMjZNTUZZMUxWTDMyS2g3VGlhM3FobTR3c0tvWEpOMGRVdFFiS1B5eUhQMzROM21JeW80eEVzQ3lVZENxd1NPSk14SVdNc05VeWNCVnp2bTU1UWNHSHJ2bzFKNE1wNUNhTkxqUlllbHRMSzZYMUI5Y1BtdTVBekdoc0lZdDJieC9lWUYxZ1htZ0NsZmpQSkVQeWpMSUxtL0NYeWZ6YUh0dUQ0RnQ3OHZ2TEpUeUxNbHFVVHVyZlJFb0RqWUhkdzZ6R1dVR3REeVlUSUd0Y3BBMEFSaGczaFUxeE5namlTbHhleUtLZ1ExbFJ3TFY0SnYvVVNZczZGWWs5Wk5YS3QrQ3lDb3M3djY2eUd3SDFNM1lwRFdwbndlODhudVdwbW9OTkEzMWhCWUF0am1lZ2ZiZFZoODA0bHQ4b1FIOVBRb3VsVEZ3VUNwOERQM2grajhNS1N5VU5HUVU3T2RzbGhtS3FZWW4xbFpzUXFaQ1hHT1gxSC9FcnpTY1RKWExSakJySEJzd24xWGRPLzBJeEs0d0VRS3JZb2hiUWxrNnRSdFdXZVFnYm8rQ1NXeUxDWEhrYkRCbk4vMGViczczTWlDWFhtUWlsMDlEbjhKbVRPRVh0Q2E5Y2twV0wvaGdKUFNmdCtoVDlyZ1F3TFpQMHFERnBBRGoyTzZnWjJoMHVMUUxNNDAvZ0ZUaEJWNjRDbjJaNXB2N3F4NFBvYVpaYzU4SFB3MGZGNjduNkFYZ25KaG8wekhURVA2SVlFcU1sTThpWktwcGNFMjRtQkFVQzBOS0daYzU3U0paRHVCd0ZIZW1wZEUvY1Q0U3VaSVRFa2Q4M3ZjR2dGZVpvdXdrQlN4SzJLY2g5U3E0eC9Yb0JxekE1T1BhZ003Z3c4RjZQSllzV3oyL2ZUWmxPMmgyOWt6TE91ZkN3d1QvbDJJT1pCcjltTytTUWZZNEVZSWxtTm9FRTlQUVh1STc5eUtReEZ5WDQ5andua09aa0ptTlpJNHhtWE9YOUorbFpFckkzcDRLWnpOTjdPbDR5bkxWM0dmek5DUkxrRk1JM3U2ZEFBRmR0ZGw4R25sRmxUR1lweVhlM0p1VkhXQ2dtem5mODRMMEZoZytzSjdhLy9XNWs4VWF1bkdUNWVsS0JTZDFja2hjWWVVZzlXVzZNbmgvV3V5dXBsMkdEVjdUcEZPdGR6UG9sbHhvQkVXa212OUEwdktHbWNnRG83dStkOEt0aHlvMS9MQmJlQXFOVWRkNjhYRnZGOGFEYThTMmJrVFRCTFd2TmM0S0JnclVWbTNYL2VNVXJOaU01VHcyU2RtdlQxbEZQRkl4WGtZb2hhT0VSNk5jc08yZzIvNTZuTkt3NVRIY1kvTzNhK1hKRm1kL3dkaVNISXZySXhTSHJLSkJQVFlWTkVONGJqa2pUYnY2OVpMeDVFeThNQUlZM3hrV296Ymp5aUNUN0thM1hBa2cvZE1OUjByRXFrNCtjMG8rZkZDWG42NGErY2V5b2lmazVYeWdFUmkzSXZQVHhvV200TUkwL3lCUmNxMWJwYW1GZ3VRZGV5K1V1ajlJZUxtTFdWNHV3Q1YxZ3B5dmVad0U1cjVLeVlVdjVMN2lYVGY4dGs3U2ZBMno4NWpaSzlXQzZqUkVKSnN4Sk0xQXo4VHFPd1VmMXpFQytNb1JFb3pzR2NtNWgrb1lXWW9WOXN0KzV1dWw3RmpjeFV5YittdGJpWnQ2Z2d4NVlTSVVOZk12UUZYQmpPSDdQK3l0L0t4RTJ4ZkJjOUNWbEYxU2JTY3dJRGtocDUybGczSWdVYSs4UU45Y21YeUpQWVJwdUExNVhLcmt4SDdGOTlLeDBwWS90dXJhelMyaFZWNUhxMUxVU3VKY0laUUY3Z3pQazlSMzRtSTZQVms0UVhjZHpFQ1RwclQ5dlVqdTR6eGRUMHlmTUlkRk1pN2pCV2FncllBL0tMZndiQnRqd0xZbm1TbE96Uzl3R2taVGhzeUN6elhxbThDT2p3cExJNHpvbFFoN0E5THgrL291TXcvSjF4b1hnMWdoYWxFNGhSMDdSMGhlTmNQU2xZK2NXMWNTNEhVRFl1WFVTYU1wZGorL2NxQXMyQnJyYmFpMXl3WXpiOG9XcjFzeGdPaWY4b3F1S3pXUVN4R3M1YmtCV1d1aTVMM1p1OGs2QUZKVldnMTBOSVVwR2RwMSs2QjBQd2pVL2NqdU05SzhVQnBSejJlSC9OKzg2MHNGWTB1cXNhR0ZuOGFSb28vMUplVW1XRm9HRVIxVGdJczRIaWZyNkttTkNGallSbi9paWdIN3d2YmRXZ3RBYVJVRFFUQ1NxQ289In0%3D&from=searchresults
Palette Baga Near Titos Lane Formerly Baga Retreat,Calangute,25991,Very good,8.0,187 reviews,https://www.booking.com/hotel/in/baga-residency-calangute.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=45149605_375719298_2_0_0&highlighted_blocks=45149605_375719298_2_0_0&matching_block_id=45149605_375719298_2_0_0&sr_pri_blocks=45149605_375719298_2_0_0__2599094&from=searchresults
Super Townhouse Margao Near Railway Station Formerly Hotel Tanish,Madgaon,21184,Good,7.7,33 reviews,https://www.booking.com/hotel/in/tanish-madgaon.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=673669904_405075959_2_42_0&highlighted_blocks=673669904_405075959_2_42_0&matching_block_id=673669904_405075959_2_42_0&sr_pri_blocks=673669904_405075959_2_42_0__2118382&from=searchresults
Super Townhouse Calangute - Baga Circle Formerly Park Avenue,Calangute,27481,Fabulous,8.8,215 reviews,https://www.booking.com/hotel/in/collection-o-400-calangute-baga-circle-goa.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=1283795501_401323000_2_0_0&highlighted_blocks=1283795501_401323000_2_0_0&matching_block_id=1283795501_401323000_2_0_0&sr_pri_blocks=1283795501_401323000_2_0_0__2748138&from=searchresults
FabHotel Manoshanti- Nr Big Daddy Casino,Panaji,28648,Review score,5.8,4 reviews,https://www.booking.com/hotel/in/manoshanti-panaji.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=352312805_410649170_2_0_0_907467&highlighted_blocks=352312805_410649170_2_0_0_907467&matching_block_id=352312805_410649170_2_0_0_907467&sr_pri_blocks=352312805_410649170_2_0_0_907467_2864844&from=searchresults
De Alcazar Calangute,Calangute,19212,Review score,6.4,"1,185 reviews",https://www.booking.com/hotel/in/emmanuel-beach-resort-by-bellostay.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=559659403_331254753_2_41_0_651402&highlighted_blocks=559659403_331254753_2_41_0_651402&matching_block_id=559659403_331254753_2_41_0_651402&sr_pri_blocks=559659403_331254753_2_41_0_651402_1921238&from=searchresults
FabExpress MA Homes - Nr Morjim Beach,Morjim,19377,Good,7.9,17 reviews,https://www.booking.com/hotel/in/ma-homes.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=972739402_410204907_2_2_0_907524&highlighted_blocks=972739402_410204907_2_2_0_907524&matching_block_id=972739402_410204907_2_2_0_907524&sr_pri_blocks=972739402_410204907_2_2_0_907524_1937660&from=searchresults
FabHotel Grand Royal Palms - Nr Benaulim Beach,"Benaulim Beach, Benaulim",18882,Review score,5.9,84 reviews,https://www.booking.com/hotel/in/capital-o-83452-grand-royal-palms.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=787368303_410205208_2_2_0_907526&highlighted_blocks=787368303_410205208_2_2_0_907526&matching_block_id=787368303_410205208_2_2_0_907526&sr_pri_blocks=787368303_410205208_2_2_0_907526_1888212&from=searchresults
FabEscape Vagator Retreat Resort With Swimming Pool - Nr Vagator Beach,Goa Velha,23837,Good,7.2,42 reviews,https://www.booking.com/hotel/in/fabescape-vagator-retreat-cottage-goa-velha.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ca8428031f4806c2&srepoch=1746078089&all_sr_blocks=754789701_410205240_2_2_0_907479&highlighted_blocks=754789701_410205240_2_2_0_907479&matching_block_id=754789701_410205240_2_2_0_907479&sr_pri_blocks=754789701_410205240_2_2_0_907479_2383680&from=searchresults
