hotel_name,location,hotel_price,rating,rating_score,review,link
Hotel O Palak Palace,"Thaltej, Ahmedabad",20065,None,None,None,https://www.booking.com/hotel/in/oyo-81037-palak.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=746727503_330685066_2_0_0&highlighted_blocks=746727503_330685066_2_0_0&matching_block_id=746727503_330685066_2_0_0&sr_pri_blocks=746727503_330685066_2_0_0__2006488&from=searchresults
Crowne Plaza Ahmedabad City Centre by IHG,"SG Highway, Ahmedabad",96092,Fabulous,8.8,702 reviews,https://www.booking.com/hotel/in/crowne-plaza-ahmedabad-city-centre.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=87580922_244931375_3_42_0&highlighted_blocks=87580922_244931375_3_42_0&matching_block_id=87580922_244931375_3_42_0&sr_pri_blocks=87580922_244931375_3_42_0__9609200&nad_id=3d0058c8-7891-4710-9179-248ed9b7d47b_0&nad_cpc=0.58&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDYwNzgwMjY2OTIsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiNnlwYURVdVNoUTV4K0l2TkFNYTJvZVdSaHgxRHV3QkRGOXVPaDlKVmFWdnNIcUZURndFRnhvV2Z6YTNMbDJTWCs1dERXd3pqT3JPdE42aDhVOHNmU1Q2d1lMVjVHL3BhZk1VaGJyQjk1NWx6c3VsQUxWb0Q1T0dRZjQvRWNTazN4bm5EVGhnSmp1RGx6ZXFhTGY3R2xHSzEyVDg2bFNJVWFua3Q4Z0E0cWFoajg3ZGkrd3FjalpaOGNyaVorSXFERGJTOURnRHJ2Ukd0SjNJWThEMlRBUWFyRzRudkFPMDV6OGYycjYzdHRGbWFLNUFrQjRFWW5UU3RZNUxTUXd1Nk5kZ3drNjlXMTJZdU9jUm9TZFF6WEVnam1JbDNsYlJ3MTUyNEhoNlVTenpTQkdTM3FQYVVvSTc3eHNJTGpDdldXSDkvWHFMVjhRUHIvb1U2Vi8vb1QxSW1Mamo1WTFrV1dpZmVxa3MxMEExZmUyODRZZkxtRS94emNIUTlvTmdBaVRCZkd0L2VldmZybUZzZ3g4Sm1RSFQralJYMGRZbFNZZXhhcTRLNlNsODNDRVNjdCswajFUbG1uVGhMSzhkclRLS0ZIalFMWTV0UDdzcFIvMUZ3M1JqRDBvSVpGNFlYK050MnE5VGxpdVpkc2ZaYW4rU05jTmJOWXhtV3UyQ3g1V3VoRGY5YmlkZitzVVhDbWhmNVVXajc3YWUydHg2anFxdEZJaDlrN3M3VkFJb2lJalM0OFdsRXJOUTVndWJ3Q0hKK1BtS0tiREdBY29DT1lyMVBCWVVCQzdOdXVjZ0pFMzQvMnd4K3dEYkhxWi9iSmhJb0RCdU5lTmg0cmtJV2pLODdIQkxrZW1FNE1mMllpNlQ0ZVFtTjFkNDNIM1Z5NCt3Z0NZdmF0dTBMWC9Xa3RidEdsK2taWU1YK1Z2MnFTY1JkQ3FMc2ZWTG43Q3haeTJNT3Vmc0RpQ1UvNFdVUzJTK2xKdHFHM1oxOEdGekFZcTIzQlArbDdhRnhBN3dyUW42Ym9qYWgycFFlNDhsWW1oaTZWbjZqRjVDNnRXM3l0V3I2R3orUVRYbUNVSENQZXBSSVJyWFJNdlhXTkkwdHNzOXpBM2JpL1l2SzFka2xYTmYralI0MTU1UGJpUFhNVmRVNVFDc2Fqd1RTSXJXWXJmNzI5ZnhLZUFqcmxWcXhjSEVCNEhCVlJuT0l3TGxJdFNkU1M3SDA0WTJvVVZYRFRlQjl3TkppNDRYVTVIM2dWQkpHNnZZRWozeEF1RE10UlNJZ0RXY2RCN2J4eEZ2TVhxMm1RcU5WcjFiUjhtb1dFUWlScXcyNDN0MmNsZ0E4VmtTQ2NabnNPUWdjMFJKV3BZazh0ZGNVb2EzeTlvcXZnalowTGxCMndLZnlBK1g0TzR5bTVRakdVUGNJNTJCWmV6TUM3MWxFMFJDTkxmR1doRjlLZ3NteVpHUlcxQ3ZBcUIwRFI5Q0s1RnFybGx1c0hRT2RqekNnMW5KWHI5alRJV0VmY1BrWlJMZVVXbmRuNTJ1UU0xOXNocDFQS2YxRjl6N055RTl3VTMwMUZ3N0dEYUt3algzZExjbjdTWEVya1E3OTY3Vm83WkprUVRhRHM3UTUvbEZQYUhLZVhrZ041NjdEZXBER1ZJbklwdHdNeHl5UnRob0tCRitKUGM4cnRuTXJ2WkpCWjFSZ3RCTFZxRFF2ZTlJWGg2eXZFYk1UWEswU0wxQUxsbEt4Q3BodGdXSVU2Ullad056UnUwYmFrbE9KUGxpL3hvRUpNNkNXY0RQRXUrSmd0THN2bDBSN1drdVdOcnVIVktxNjVvV3JSUDNhSy9Zakpjb2dRRHdNV3FEQmpxMGJ2dndjL081eElKRjF6YzlqWDR4NTgvZ1hmcktJSFJMSVp1SWQ5MEgvOUdieS9yUk1QNUdtT0RmV2JSM2NXRll0TVQvOGszWnRBQ0hhYUl3cnQvczVGbkdNZ1Z6Z2RDVDJFcXgwNllROTZEWnhDRmU5clBEcFFwY3Jjd2s2S1JRdlBLeXE3eWl0a2pOVGxiZnpXcks5Y2pHY2IzVFkrdGJINjViM0xEWjMweEFPRVNwSEhJMDVkRnhLWU5HOW9vUExpV0JuS3MxN2xOVmg4YmZNVjRaOUFvUVZSWFR1RVV1QThoVDM2UFRoVHdtZ0lBRE1LTkE4WEh4bjAySE8wZGhWaWVrNE5yYlZVZFcrK3pEdmo0dlFVN1NPVlhrK3dFMEhVZ01pc0xmQm9Hd2dJQkJCL1VDOGw0Q0czV0hOcHRCT1ZpMHF1ZEpSeHBlbHdtZ0ZGQXZwMUJPVHVaeWFtOTB3UWY5NVBxeUgzNTBIV1JqS2QrZ3RHd2NKRTlaVC95bFh2ZTl4a1BEc3hQYmszV0J0QWtZcTZsNjVnWTFFSEQxbExycHN6UXRxT0FsdTErdnJ4ZW9WOXpPbW5JaGltUE12N3RuTUx4MU4zU0JsRGUzc1ZNaGs2eHBTRktzWEVsK080aVFiOFJSUTlvQmJhektYMHFQMG9oazRoWVJobVdMZEhUd2RzdUV5dHVTN1N3M0NNUE5acC96N0JzMlR3MDZUREhpS2xjdmZvWlB6N3BZWEF5cUNYcDZsUjA5VW03SFRDbit1V0JwWjl2K0hVYWlSeGVvY1dzNXozQ1NYRVd3bzI4QUdyTC9uY3F1Y09YZEFBaHdTaXZTUHZkVkUyTFZGME9YUDNHYlRlK09vSGxIKzZXa0pQRVdRRW8wdFNsTlVKSGpycE9hUVZic21aSDJiaDVtdEM2Qy9SYkI0dmJPVkEwWlNuVlQwYnlWaHByVW5yWHh5ZlFpUXQ0aVg0b05XdFplNFZNeUI3Q2plaDBlNkltcU5uaHlsb3hRazVoUFIxOTA3VE9RblZza2s1NEJ6bnRkRDN1aFBVOFBMZ1N0VmZVdnMrMXgzQTB3cTRhc1lWNXhRellxZ05rdDJEZTJOQ3AzSUR6Q0hiYzhSa0JQbnVqMU16cm9nT1V0Mnl3Y21NOWl5cWhrMnByQ0RydVJLT3hWNDNMa1R6bkNmWlRMc0tVeVNsSVFGTWxpWHVOTUppc3J1MUJrWkcyMUtSRm1QRUZQWEdEZklVbjQrdnFLTFlSU2NQTkwxcnVxT1hnRFZ1bXZ4ZXdLbXhGbDBSK1lrWDlhUW4zQnlxL09YaFVBTTByRWZuYlRIWWoyOGdjVHM2cHNSdDEyQm9DVG45VEliSFpwUFU4U1kwNE9nL0ZGVmZKWXJEQnNVWWoxUnR0dnZtWXUrRDBTeG9ENDU0RHRNUjlqYnZYUXVBYzdmYWsrcE9jWDJ4SDNTMzYwQ2xuaGo0MUE1cENndWZBRC9jYWY0T3NpQVZuYWFLWDdKa3h5dFk2QkZGU1d6b0FKakNxUFRvbW41b1FyZWJreXRVdGFOVmdlY1grV0Jqd1lXcUU3OVRGUzdiSG1lUGtBeXNINkEzUU1GIn0%3D&from=searchresults
Hyatt Regency Ahmedabad,"Ashram Road, Ahmedabad",67275,Very good,8.5,"1,494 reviews",https://www.booking.com/hotel/in/hyatt-regency-ahmedabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=131252716_366945747_2_41_0_38325&highlighted_blocks=131252716_366945747_2_41_0_38325&matching_block_id=131252716_366945747_2_41_0_38325&sr_pri_blocks=131252716_366945747_2_41_0_38325_6727500&from=searchresults
Super Collection O Maninagar East Formerly Maninagar Residency,Ahmedabad,12849,None,None,None,https://www.booking.com/hotel/in/o-maninagar-east-formerly-maninagar-residency.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1359301801_408246509_2_0_0&highlighted_blocks=1359301801_408246509_2_0_0&matching_block_id=1359301801_408246509_2_0_0&sr_pri_blocks=1359301801_408246509_2_0_0__1284852&from=searchresults
Hotel Nexus Inn,"Naranpura, Ahmedabad",15610,None,None,None,https://www.booking.com/hotel/in/nexus-inn-ahmedabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1404991201_412305895_2_2_0&highlighted_blocks=1404991201_412305895_2_2_0&matching_block_id=1404991201_412305895_2_2_0&sr_pri_blocks=1404991201_412305895_2_2_0__1560983&from=searchresults
hotel hill inn,Ahmedabad,14280,None,None,None,https://www.booking.com/hotel/in/hill-inn-ahmedabad2.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1405839601_412377481_2_0_0&highlighted_blocks=1405839601_412377481_2_0_0&matching_block_id=1405839601_412377481_2_0_0&sr_pri_blocks=1405839601_412377481_2_0_0__1428000&from=searchresults
Hotel O Raj Palace,"Maninagar, Ahmedabad",40949,None,None,None,https://www.booking.com/hotel/in/o-raj-palace.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1405670501_412371357_2_0_0&highlighted_blocks=1405670501_412371357_2_0_0&matching_block_id=1405670501_412371357_2_0_0&sr_pri_blocks=1405670501_412371357_2_0_0__4094874&from=searchresults
Holiday Inn Express Ahmedabad Prahlad Nagar by IHG,Ahmedabad,55311,Review score,6.8,826 reviews,https://www.booking.com/hotel/in/holiday-inn-express-ahmedabad-prahlad-nagar.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=45187106_246025784_2_41_0&highlighted_blocks=45187106_246025784_2_41_0&matching_block_id=45187106_246025784_2_41_0&sr_pri_blocks=45187106_246025784_2_41_0__5531100&from=searchresults
Hotel Skyland,"Navarangpura, Ahmedabad",12742,Good,7.0,1 review,https://www.booking.com/hotel/in/skyland-ahmedabad3.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1347735201_407125654_2_0_0&highlighted_blocks=1347735201_407125654_2_0_0&matching_block_id=1347735201_407125654_2_0_0&sr_pri_blocks=1347735201_407125654_2_0_0__1274235&from=searchresults
Hotel O Hathijan Vatva formerly Hotel Dev Palace,Ahmedabad,10743,Fabulous,8.8,15 reviews,https://www.booking.com/hotel/in/o-hathijan-vatva-formerly-dev-palace.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIF4AIB&sid=ae87694deb72878678f4246b3459b79f&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2088270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4f2427e5537109d0&srepoch=1746078027&all_sr_blocks=1358573901_408194718_2_0_0&highlighted_blocks=1358573901_408194718_2_0_0&matching_block_id=1358573901_408194718_2_0_0&sr_pri_blocks=1358573901_408194718_2_0_0__1074294&from=searchresults
