hotel_name,location,hotel_price,rating,rating_score,review,link
Hotel Royal Manor,Rajkot,13923,Very good,8.2,12 reviews,https://www.booking.com/hotel/in/royal-manor.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=1372702101_409446498_0_42_0&highlighted_blocks=1372702101_409446498_0_42_0&matching_block_id=1372702101_409446498_0_42_0&sr_pri_blocks=1372702101_409446498_0_42_0__1392300&from=searchresults
Nova Park,Rajkot,18357,Good,7.0,145 reviews,https://www.booking.com/hotel/in/nova-park.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=672446301_275204568_2_42_0&highlighted_blocks=672446301_275204568_2_42_0&matching_block_id=672446301_275204568_2_42_0&sr_pri_blocks=672446301_275204568_2_42_0__1835652&from=searchresults
Super Hotel O H.R.KING HOTEL,Rajkot,11338,Review score,5.4,25 reviews,https://www.booking.com/hotel/in/collection-o-the-grand-vatsalya.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=1147830202_387620313_2_0_0&highlighted_blocks=1147830202_387620313_2_0_0&matching_block_id=1147830202_387620313_2_0_0&sr_pri_blocks=1147830202_387620313_2_0_0__1133833&from=searchresults
Super Collection O Limda Chowk Formerly Hotel Harmony,Rajkot,23364,Review score,5.0,56 reviews,https://www.booking.com/hotel/in/capital-o-1338-harmony.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=1230869403_398339896_2_32_0&highlighted_blocks=1230869403_398339896_2_32_0&matching_block_id=1230869403_398339896_2_32_0&sr_pri_blocks=1230869403_398339896_2_32_0__2336434&from=searchresults
Hotel O The Infinity,Rajkot,15049,None,None,None,https://www.booking.com/hotel/in/o-the-infinity-rajkot.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=1401197602_411969691_2_0_0&highlighted_blocks=1401197602_411969691_2_0_0&matching_block_id=1401197602_411969691_2_0_0&sr_pri_blocks=1401197602_411969691_2_0_0__1504854&from=searchresults
Hotel O Capital,Rajkot,11527,Review score,3.0,14 reviews,https://www.booking.com/hotel/in/oyo-flagship-70160-capital.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=917579003_363300107_2_0_0&highlighted_blocks=917579003_363300107_2_0_0&matching_block_id=917579003_363300107_2_0_0&sr_pri_blocks=917579003_363300107_2_0_0__1152694&from=searchresults
Fortune Park JPS Grand Rajkot - Member ITC Hotels' Group,Rajkot,91086,Very good,8.0,453 reviews,https://www.booking.com/hotel/in/fortune-park-jps-grand.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078438&all_sr_blocks=130079201_278855321_2_2_0&highlighted_blocks=130079201_278855321_2_2_0&matching_block_id=130079201_278855321_2_2_0&sr_pri_blocks=130079201_278855321_2_2_0__9108600&from=searchresults
Hotel The Evergrand Palace,Rajkot,40600,Review score,6.7,189 reviews,https://www.booking.com/hotel/in/the-evergrand-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=130750401_198588328_2_40_0&highlighted_blocks=130750401_198588328_2_40_0&matching_block_id=130750401_198588328_2_40_0&sr_pri_blocks=130750401_198588328_2_40_0__4060000&from=searchresults
"Lemon Tree Hotel, Rajkot",Rajkot,54198,Very good,8.0,146 reviews,https://www.booking.com/hotel/in/lemon-tree-rajkot.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1064546301_380359702_2_2_0&highlighted_blocks=1064546301_380359702_2_2_0&matching_block_id=1064546301_380359702_2_2_0&sr_pri_blocks=1064546301_380359702_2_2_0__5419800&from=searchresults
Maruti Grand Hotel,Rajkot,22397,Very good,8.4,22 reviews,https://www.booking.com/hotel/in/maruti-grand-rajkot.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AtekyMAGwAIB0gIkNWU0MGRmOWQtNGQ2Yi00ZWJjLTk4ZjAtZDgyMWU5ZTdlN2Qx2AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-15&dest_id=-2108747&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17e228b2d7ae0b13&srepoch=1746078439&all_sr_blocks=1180998001_407907947_0_0_0&highlighted_blocks=1180998001_407907947_0_0_0&matching_block_id=1180998001_407907947_0_0_0&sr_pri_blocks=1180998001_407907947_0_0_0__2239740&from=searchresults
